Total time (ms),ROCA counterexample time (ms),DFA counterexample time (ms),Learning DFA time (ms),Table time (ms),Finding descriptions (ms),Membership queries,Counter value queries,Partial equivalence queries,Equivalence queries,Rounds,Openness,Sigma-inconsistencies,Bottom-inconsistencies,Mismatches,Length longest cex,|R|,|S|,|? \ S|,"# of bin rows",Result alphabet size,Result ROCA size
17343,5840,46,11502,10645,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17171,5922,47,11249,10411,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18516,6008,155,12509,11575,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17987,6054,34,11933,11191,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17501,6114,37,11387,10620,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18723,6772,45,11951,11086,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
7933,5787,30,2146,2027,0,19648,134,1,4,2,2,19,1,0,31,34,32,0,1,19,33
17904,6193,42,11711,10956,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17799,6136,45,11662,10878,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16547,5879,33,10667,10361,0,21379,137,2,4,2,2,19,1,0,31,37,32,0,1,19,33
18374,5915,41,12459,11500,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17987,6247,45,11740,10981,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17507,6331,45,11175,10376,1,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
16881,6080,45,10801,10015,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
19395,6708,46,12686,11730,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17534,5725,41,11809,10979,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17120,6158,44,10962,10143,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
18064,6195,45,11868,11043,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17635,5618,30,12017,11192,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
17252,5567,41,11685,10868,0,35786,197,2,4,2,2,19,1,0,31,62,32,0,1,19,33
